Machine ID,File Path,Parent Process,Decision,File Name,User,Sha256
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_55247_1767721154_856394,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_48909_1767720243_81015,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_43514_1767719331_201507,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_38400_1767718419_284251,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_30499_1767717507_583621,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_25273_1767716596_121505,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_18715_1767715684_436019,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_9575_1767714772_596975,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_5591_1767713860_950508,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_1168_1767712948_407895,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_94461_1767712035_864496,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_87149_1767711123_405757,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
721E480C-82A2-536C-B499-70CF159834F7,/Users/bellekriger/Library/Application Support/zoom.us/Plugins/Frameworks/ZoomClips.app/Contents/MacOS,<http://zoom.us|zoom.us>,ALLOW_UNKNOWN,ZoomClips,bellekriger,b59e3f6b2e0cdd4e287d418c0d81f7f307d08d468245ea905ea2f41ba16a656a
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/zoom.us.app/Contents/Frameworks/ZoomClips.app/Contents/MacOS,<http://zoom.us|zoom.us>,ALLOW_UNKNOWN,ZoomClips,nettazohar,0632e3560625435bea42bf174af68e8457fd2b88c5fee2d5713eb2b0774b6202
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/zoom.us.app/Contents/Frameworks/caphost.app/Contents/MacOS,<http://zoom.us|zoom.us>,ALLOW_UNKNOWN,caphost,nettazohar,814b8fc67a41030fa041f5ba701485bd519b1bc8431260eec3a086080c627ea4
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/zoom.us.app/Contents/Frameworks/CptHost.app/Contents/MacOS,<http://zoom.us|zoom.us>,ALLOW_UNKNOWN,CptHost,nettazohar,963e552b02b536fc8f0e5b4a3adb132595f6b84a42d55b7dee3387e9df19a337
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/zoom.us.app/Contents/MacOS,launchd,ALLOW_UNKNOWN,<http://zoom.us|zoom.us>,nettazohar,1360cb745430c50e69a81e38fbec370da8ec39a66ac3c4e3201e6c2423db3455
512AF8DF-54FB-54D9-91DF-F500F127AC3D,/Applications/zoom.us.app/Contents/Frameworks/aomhost.app/Contents/MacOS,<http://zoom.us|zoom.us>,ALLOW_UNKNOWN,aomhost,nettazohar,fa6f7fbd64272aa45fadeb93be978c75038a16ed3f2cdb4ab3213f5531cf4632
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_77257_1767710210_976512,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
F15BF346-4295-5CF0-B616-E428EF5CC7E0,/Applications/IntelliJ <http://IDEA.app/Contents/jbr/Contents/Home/bin|IDEA.app/Contents/jbr/Contents/Home/bin>,idea,ALLOW_UNKNOWN,java,danielk,49bef3327c092bd78e950b913347da11215588a7d5e3ec5766f6efaf6cc58f4d
163D22D7-8D8A-56DD-8F05-F23CCABBB388,/private/tmp/onefile_70132_1767709299_121941,koi.security.mdm.sh,ALLOW_UNKNOWN,mdm.bin,root,32e2cbb9ad75d4e6e4ba363d4a799a1470f92563e55518326f680dcf30cde53a
5F9EDA11-82AB-50E8-BAFA-23704D2743C7,/Applications/Figma.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Helpers,,ALLOW_UNKNOWN,chrome_crashpad_handler,amit-turner,760b7b07972c465313d5f31877c0a8f49a1684fe56bdb1cc7fdad4dfb47d47de
5F9EDA11-82AB-50E8-BAFA-23704D2743C7,/Applications/Figma.app/Contents/Frameworks/Figma <http://Helper.app/Contents/MacOS|Helper.app/Contents/MacOS>,Figma,ALLOW_UNKNOWN,Figma Helper,amit-turner,76366137af7b932d790b65ae3bc40a3b00fbfc99bea034a63cafb2507ac013ae
5F9EDA11-82AB-50E8-BAFA-23704D2743C7,/Applications/Figma.app/Contents/Frameworks/Figma Helper (GPU).app/Contents/MacOS,Figma,ALLOW_UNKNOWN,Figma Helper (GPU),amit-turner,54b4ac73b9aa122878f216fdfc94102f5cd7b75e28868a45a471348ec95c018c
5F9EDA11-82AB-50E8-BAFA-23704D2743C7,/Applications/Figma.app/Contents/Frameworks/Figma Helper (Renderer).app/Contents/MacOS,Figma,ALLOW_UNKNOWN,Figma Helper (Renderer),amit-turner,7a2efa2499d805fb883a67e379b551c4931e2339b363081f4a97aa743ca63eab
